dwv_order_make_haikou_1.order_id	dwv_order_make_haikou_1.product_id	dwv_order_make_haikou_1.city_id	dwv_order_make_haikou_1.district	dwv_order_make_haikou_1.county	dwv_order_make_haikou_1.type	dwv_order_make_haikou_1.combo_type	dwv_order_make_haikou_1.traffic_type	dwv_order_make_haikou_1.passenger_count	dwv_order_make_haikou_1.driver_product_id	dwv_order_make_haikou_1.start_dest_distance	dwv_order_make_haikou_1.arrive_time	dwv_order_make_haikou_1.departure_time	dwv_order_make_haikou_1.pre_total_fee	dwv_order_make_haikou_1.normal_time	dwv_order_make_haikou_1.bubble_trace_id	dwv_order_make_haikou_1.product_1level	dwv_order_make_haikou_1.dest_lng	dwv_order_make_haikou_1.dest_lat	dwv_order_make_haikou_1.starting_lng	dwv_order_make_haikou_1.starting_lat	dwv_order_make_haikou_1.year	dwv_order_make_haikou_1.month	dwv_order_make_haikou_1.day
17592719043682	3	83	0898	460107	0	0	0	0	3	4361	2017-05-19 01:09:12	2017-05-19 01:05:19	13	11	10466d3f609cb938dd153738103b0303	3	110.3645	20.0353	110.3665	20.0059	2017	05	19
17592719302995	3	83	0898	460106	0	0	0	0	3	5756	2017-05-19 02:08:13	2017-05-19 02:04:38	17	10	64469d36591de2366d4124291d411f02	3	110.3337	20.0652	110.3361	20.0364	2017	05	19
17592719330238	3	83	0898	460108	0	0	0	0	3	2828	2017-05-19 02:35:16	2017-05-19 02:33:07	9	7	6446a134591de8e2385848fd215f3602	3	110.3401	20.0081	110.3333	20.0222	2017	05	19
17592720943629	3	83	0898	460105	0	0	0	0	3	4854	2017-05-19 07:49:19	2017-05-19 07:47:21	14	11	64469c31591e3288b6b1ab452d31a102	3	110.2842	20.0071	110.3002	19.9818	2017	05	19
17592721794216	3	83	0898	460108	0	0	0	0	3	4478	2017-05-19 08:13:32	2017-05-19 08:10:58	12	12	10618ef5591e380f00007dbe49a914e0	3	110.3265	20.0297	110.3157	20.058	2017	05	19
17592721831669	3	83	0898	460108	0	0	0	0	3	9075	2017-05-19 08:24:17	2017-05-19 08:19:57	23	21	ca7cf25e789ee28e080c958910370303	3	110.3008	20.0226	110.3456	20.0633	2017	05	19
17592722325070	3	83	0898	460107	0	0	0	0	3	4066	2017-05-19 08:43:56	2017-05-19 08:38:12	12	12	6445623d591e3e741dc7b5972bc08002	3	110.3732	20.0116	110.3667	19.9994	2017	05	19
17592722363412	3	83	0898	460107	0	0	0	0	3	4022	2017-05-19 08:41:30	2017-05-19 08:36:07	12	14	6446aa14591e3df7c31298ae27410b02	3	110.3405	20.0015	110.3704	19.9954	2017	05	19
17592722526870	3	83	0898	460106	0	0	0	0	3	4311	0000-00-00 00:00:00	2017-05-19 08:49:16	12	NULL	0a25a2719e54dea65101a72910300303	3	110.3507	20.0224	110.3318	20.041	2017	05	19
17592722883936	3	83	0898	460105	0	0	0	0	3	2263	2017-05-19 08:58:32	2017-05-19 08:55:30	9	13	6446a134591e426b35d548ef21220502	3	110.2793	20.0133	110.2673	20.0137	2017	05	19
17592723562993	3	83	0898	460106	0	0	0	0	3	6354	2017-05-19 09:38:26	2017-05-19 09:30:08	17	45	64469f33591e4aa000fa5367274c4802	3	110.3433	19.9841	110.3117	20.0012	2017	05	19
17592723604362	3	83	0898	460106	0	0	0	0	3	9213	2017-05-19 09:37:46	2017-05-19 09:36:05	23	18	64469d36591e4c05510d23fe2b9b3c02	3	110.3321	19.977	110.32	20.0269	2017	05	19
17592723738559	3	83	0898	460107	0	0	0	0	3	4643	2017-05-19 09:52:22	2017-05-19 09:47:30	13	8	6445623c591e4eb2552443241f278302	3	110.3608	20.0103	110.339	20.0099	2017	05	19
17592724446997	3	83	0898	460108	1	0	5	0	3	5150	0000-00-00 00:00:00	2017-05-19 12:10:00	13	NULL	64469c31591e552ebb5aab5928ed3c02	3	110.4634	19.9369	110.4497	19.9438	2017	05	19
17592724764832	3	83	0898	460106	0	0	0	0	3	3741	2017-05-19 10:35:52	2017-05-19 10:33:01	11	7	90d3fb6e591e595b00005f8e6fb39bce	3	110.3374	19.9969	110.3223	20.0056	2017	05	19
17592724819198	3	83	0898	460105	0	0	0	0	3	5702	2017-05-19 10:50:07	2017-05-19 10:42:58	15	12	64469e3c591e5bb13ffb191e275ad402	3	110.3114	20.026	110.2878	20.0048	2017	05	19
17592725182558	3	83	0898	460108	0	0	0	0	3	3249	2017-05-19 11:02:58	2017-05-19 10:59:57	10	9	6445623c591e5fac2ae643112d304702	3	110.3393	20.0274	110.362	20.027	2017	05	19
17592725309572	3	83	0898	460107	0	0	0	0	3	5770	2017-05-19 11:04:02	2017-05-19 11:01:35	16	21	64469d36591e600e592724102773cf02	3	110.3748	20.0217	110.3418	19.9907	2017	05	19
17592725855561	3	83	0898	460106	0	0	0	0	3	3839	2017-05-19 11:35:04	2017-05-19 11:31:29	11	11	64469c31591e6710ae7eab39312a5702	3	110.3196	20.0291	110.3304	20.0355	2017	05	19
