,dwv_order_make_haikou_1.arrive_time,dwv_order_make_haikou_1.starting_lng,dwv_order_make_haikou_1.starting_lat
0,2017-05-19 01:09:12,110.3665,20.0059
1,2017-05-19 02:08:13,110.3361,20.0364
2,2017-05-19 02:35:16,110.3333,20.0222
3,2017-05-19 07:49:19,110.3002,19.9818
4,2017-05-19 08:13:32,110.3157,20.058
5,2017-05-19 08:24:17,110.3456,20.0633
6,2017-05-19 08:43:56,110.3667,19.9994
7,2017-05-19 08:41:30,110.3704,19.9954
9,2017-05-19 08:58:32,110.2673,20.0137
10,2017-05-19 09:38:26,110.3117,20.0012
11,2017-05-19 09:37:46,110.32,20.0269
12,2017-05-19 09:52:22,110.339,20.0099
14,2017-05-19 10:35:52,110.3223,20.0056
15,2017-05-19 10:50:07,110.2878,20.0048
16,2017-05-19 11:02:58,110.36200000000001,20.027
17,2017-05-19 11:04:02,110.3418,19.9907
18,2017-05-19 11:35:04,110.3304,20.0355
19,2017-05-19 11:51:08,110.2943,20.031
21,2017-05-19 11:56:57,110.2963,20.0135
22,2017-05-19 12:15:43,110.3263,19.9834
23,2017-05-19 12:11:41,110.3153,20.0002
24,2017-05-19 12:13:16,110.3665,20.0046
25,2017-05-19 14:03:55,110.3775,19.985
26,2017-05-19 14:11:07,110.448,19.9805
28,2017-05-19 14:24:48,110.3594,20.0169
29,2017-05-19 15:15:52,110.3219,20.0653
30,2017-05-19 15:18:02,110.3326,19.9882
31,2017-05-19 15:08:55,110.3729,20.012
32,2017-05-19 15:30:18,110.3441,20.0559
34,2017-05-19 15:56:16,110.3537,20.041
35,2017-05-19 16:20:01,110.3645,20.0311
37,2017-05-19 16:44:11,110.3603,19.9881
38,2017-05-19 16:44:51,110.3337,20.0214
39,2017-05-19 16:34:25,110.3444,19.9834
40,2017-05-19 16:59:15,110.3167,20.024
43,2017-05-19 17:23:54,110.35799999999999,20.0347
45,2017-05-19 17:42:00,110.3323,20.0132
46,2017-05-19 17:43:19,110.2543,20.019000000000002
50,2017-05-19 18:01:07,110.2688,20.0151
51,2017-05-19 18:27:09,110.32,20.0328
53,2017-05-19 18:32:20,110.3745,20.0175
55,2017-05-19 18:33:05,110.3023,20.0205
56,2017-05-19 18:45:12,110.4506,19.9418
57,2017-05-19 18:39:44,110.37899999999999,19.983
58,2017-05-19 19:06:06,110.3517,20.0601
61,2017-05-19 19:21:38,110.3169,20.0655
63,2017-05-19 19:24:50,110.3666,20.0286
64,2017-05-19 19:34:35,110.3452,20.0424
67,2017-05-19 20:01:01,110.3274,20.0294
68,2017-05-19 20:04:31,110.3417,20.0297
69,2017-05-19 20:07:32,110.2897,20.0131
70,2017-05-19 20:29:15,110.3387,19.9783
71,2017-05-19 20:42:59,110.3215,20.0257
72,2017-05-19 20:42:05,110.3484,19.9816
73,2017-05-19 20:42:34,110.2988,20.017
74,2017-05-19 21:00:18,110.3428,19.9797
79,2017-05-19 22:08:15,110.3717,20.0287
81,2017-05-19 22:55:53,110.3365,20.0374
82,2017-05-19 23:49:53,110.3766,20.0262
84,2017-05-18 23:48:20,110.337,19.9995
85,2017-05-19 00:23:25,110.3337,20.0231
87,2017-05-19 00:34:04,110.3642,20.0355
89,2017-05-19 02:29:21,110.3272,20.0396
90,2017-05-19 02:55:15,110.3258,19.9764
91,2017-05-19 04:33:06,110.3454,20.0441
94,2017-05-19 07:36:50,110.3346,20.0327
95,2017-05-19 07:37:19,110.3239,19.9955
96,2017-05-19 07:57:38,110.3447,19.9992
98,2017-05-19 08:11:11,110.3741,19.9843
