,dwv_order_make_haikou_1.departure_time,dwv_order_make_haikou_1.dest_lng,dwv_order_make_haikou_1.dest_lat
0,2017-05-19 01:05:19,110.3645,20.0353
1,2017-05-19 02:04:38,110.3337,20.0652
2,2017-05-19 02:33:07,110.3401,20.0081
3,2017-05-19 07:47:21,110.2842,20.0071
4,2017-05-19 08:10:58,110.3265,20.0297
5,2017-05-19 08:19:57,110.3008,20.0226
6,2017-05-19 08:38:12,110.3732,20.0116
7,2017-05-19 08:36:07,110.3405,20.0015
9,2017-05-19 08:55:30,110.2793,20.0133
10,2017-05-19 09:30:08,110.3433,19.9841
11,2017-05-19 09:36:05,110.3321,19.977
12,2017-05-19 09:47:30,110.3608,20.0103
14,2017-05-19 10:33:01,110.3374,19.9969
15,2017-05-19 10:42:58,110.3114,20.026
16,2017-05-19 10:59:57,110.3393,20.0274
17,2017-05-19 11:01:35,110.3748,20.0217
18,2017-05-19 11:31:29,110.3196,20.0291
19,2017-05-19 11:47:13,110.3427,20.0405
21,2017-05-19 11:53:36,110.3372,20.0378
22,2017-05-19 12:04:25,110.3266,20.0248
23,2017-05-19 12:07:08,110.3279,19.998
24,2017-05-19 12:10:06,110.3261,20.0266
25,2017-05-19 14:02:25,110.3674,19.9802
26,2017-05-19 14:07:17,110.4358,19.9661
28,2017-05-19 14:20:35,110.3597,20.0431
29,2017-05-19 15:10:16,110.3462,20.0356
30,2017-05-19 15:12:53,110.35700000000001,19.9986
31,2017-05-19 15:08:50,110.3435,20.0321
32,2017-05-19 15:18:23,110.3217,20.0278
33,2017-05-19 15:33:47,110.2849,19.9757
34,2017-05-19 15:44:48,110.321,20.0261
35,2017-05-19 16:16:27,110.3496,20.0513
36,2017-05-19 16:21:07,110.3286,20.0379
37,2017-05-19 16:38:13,110.3124,20.0277
38,2017-05-19 16:39:49,110.3078,20.022000000000002
39,2017-05-19 16:32:20,110.3052,19.9751
40,2017-05-19 16:58:24,110.3264,20.03
43,2017-05-19 17:18:33,110.3341,20.0402
45,2017-05-19 17:27:25,110.3634,20.0237
46,2017-05-19 17:23:56,110.3771,19.9922
50,2017-05-19 18:00:00,110.3391,20.0317
51,2017-05-19 18:16:47,110.3219,20.0655
53,2017-05-19 18:23:35,110.3609,20.0244
55,2017-05-19 18:28:14,110.3283,20.0149
56,2017-05-19 18:41:04,110.4395,19.9644
57,2017-05-19 18:37:07,110.3749,19.9954
58,2017-05-19 18:59:06,110.3095,20.0243
61,2017-05-19 19:21:30,110.345,20.0671
63,2017-05-19 19:23:49,110.3372,20.0378
64,2017-05-19 19:28:08,110.3186,20.0276
67,2017-05-19 19:56:13,110.37799999999999,19.9912
68,2017-05-19 19:58:53,110.3382,20.0377
69,2017-05-19 20:02:36,110.4014,20.0368
70,2017-05-19 20:27:46,110.2857,20.0011
71,2017-05-19 20:40:51,110.3504,20.043
72,2017-05-19 20:37:19,110.3544,19.9656
73,2017-05-19 20:38:20,110.3391,20.0317
74,2017-05-19 20:51:57,110.3102,20.0087
78,2017-05-19 21:40:19,110.3408,19.9908
79,2017-05-19 22:04:25,110.352,20.0397
81,2017-05-19 22:49:58,110.3318,20.0615
82,2017-05-19 23:46:55,110.3264,20.061
84,2017-05-18 23:46:58,110.3032,20.0214
85,2017-05-19 00:21:53,110.3455,20.0218
87,2017-05-19 00:30:04,110.3393,20.0062
89,2017-05-19 02:25:19,110.2663,20.0168
90,2017-05-19 02:52:55,110.3363,20.0478
91,2017-05-19 04:29:34,110.3505,20.0001
94,2017-05-19 07:36:39,110.3443,19.9844
95,2017-05-19 07:35:10,110.3117,19.9908
96,2017-05-19 07:52:31,110.3053,20.0224
98,2017-05-19 08:06:03,110.3503,20.0261
